"中文","繁體中文（香港）","繁體中文（台灣）","English","Bahasa Indonesia","Bahasa Melayu","Español","한국어","Italiano","日本語","Português","Русский","ภาษาไทย","Tiếng Việt","العربية","Türkçe","Deutsch","Français"
"植物","植物","植物","Plants","Tanaman","Tumbuhan","Plantas","식물","Piante","植物","Plantas","Растения","พืช","Cây cối","النباتات","Bitkiler","Pflanzen","Plantes"
"8-15秒","8-15秒","8-15 秒","8-15 sec","8-15 dtk","8-15 saat","8-15 s","8-15초","8-15 sec","8-15秒","8-15 s","8-15 сек.","8-15 วินาที","8-15 giây","8-15 ثانية","8-15 sn","8-15 Sek.","8-15 s"
"10-20秒","10-20秒","10-20 秒","10-20 sec","10-20 dtk","10-20 saat","10-20 s","10-20초","10-20 sec","10-20秒","10-20 s","10-20 сек.","10-20 วินาที","10-20 giây","10-20 ثانية","10-20 sn","10-20 Sek.","10-20 s"
"30-40秒","30-40秒","30-40 秒","30-40 sec","30-40 dtk","30-40 saat","30-40 s","30-40초","30-40 sec","30-40秒","30-40 s","30-40 сек.","30-40 วินาที","30-40 giây","30-40 ثانية","30-40 sn","30-40 Sek.","30-40 s"
"1-3秒","1-3秒","1-3 秒","1-3 sec","1-3 dtk","1-3 saat","1-3 s","1-3초","1-3 sec","1-3秒","1-3 s","1-3 сек.","1-3 วินาที","1-3 giây","1-3 ثانية","1-3 sn","1-3 Sek.","1-3 s"
"2-5秒","2-5秒","2-5 秒","2-5 sec","2-5 dtk","2-5 saat","2-5 s","2-5초","2-5 sec","2-5秒","2-5 s","2-5 сек.","2-5 วินาที","2-5 giây","2-5 ثانية","2-5 sn","2-5 Sek.","2-5 s"
"60-300秒","60-300秒","60-300 秒","60-300 sec","60-300 dtk","60-300 saat","60-300 s","60-300초","60-300 sec","60-300秒","60-300 s","60-300 сек.","60-300 วินาที","60-300 giây","60-300 ثانية","60-300 sn","60-300 Sek.","60-300 s"
"适合云层移动明显的白天场景","適合雲層移動明顯的日間場景","適合雲層移動明顯的白天場景","Best for daytime scenes with obvious cloud movement","Cocok untuk suasana siang dengan gerakan awan yang jelas","Sesuai untuk suasana siang dengan pergerakan awan yang jelas","Ideal para escenas diurnas con movimiento evidente de nubes","구름 움직임이 뚜렷한 주간 장면에 적합","Ideale per scene diurne con movimento evidente delle nuvole","雲の動きがはっきり見える昼間のシーンに最適","Ideal para cenas diurnas com movimento claro das nuvens","Подходит для дневных сцен с заметным движением облаков","เหมาะกับฉากกลางวันที่เห็นการเคลื่อนที่ของเมฆชัดเจน","Phù hợp với cảnh ban ngày có mây chuyển động rõ","مناسب للمشاهد النهارية التي تظهر فيها حركة السحب بوضوح","Belirgin bulut hareketi olan gündüz sahneleri için uygundur","Geeignet für Tagesszenen mit deutlicher Wolkenbewegung","Idéal pour les scènes de jour avec un mouvement net des nuages"
"适合太阳落山前后光线变化","適合太陽落山前後的光線變化","適合太陽下山前後的光線變化","Best for light changes around sunset","Cocok untuk perubahan cahaya sekitar matahari terbenam","Sesuai untuk perubahan cahaya sekitar matahari terbenam","Ideal para cambios de luz alrededor del atardecer","일몰 전후의 빛 변화에 적합","Ideale per i cambiamenti di luce intorno al tramonto","日没前後の光の変化に最適","Ideal para mudanças de luz ao redor do pôr do sol","Подходит для изменения света около заката","เหมาะกับการเปลี่ยนแสงช่วงพระอาทิตย์ตก","Phù hợp với thay đổi ánh sáng quanh lúc hoàng hôn","مناسب لتغيرات الضوء حول وقت الغروب","Gün batımı çevresindeki ışık değişimleri için uygundur","Geeignet für Lichtwechsel rund um den Sonnenuntergang","Idéal pour les changements de lumière autour du coucher du soleil"
"建议手动对焦并准备外接供电","建議手動對焦並準備外接供電","建議手動對焦並準備外接電源","Use manual focus and prepare external power","Gunakan fokus manual dan siapkan daya eksternal","Gunakan fokus manual dan sediakan kuasa luaran","Usa enfoque manual y prepara alimentación externa","수동 초점을 사용하고 외부 전원을 준비하세요","Usa la messa a fuoco manuale e prepara alimentazione esterna","マニュアルフォーカスを使い外部電源を準備してください","Use foco manual e prepare energia externa","Используйте ручную фокусировку и подготовьте внешнее питание","แนะนำให้โฟกัสแบบแมนนวลและเตรียมไฟเลี้ยงภายนอก","Nên lấy nét thủ công và chuẩn bị nguồn điện ngoài","ينصح بالتركيز اليدوي وتجهيز مصدر طاقة خارجي","Manuel odak kullanın ve harici güç hazırlayın","Manuellen Fokus verwenden und externe Stromversorgung vorbereiten","Utilisez la mise au point manuelle et prévoyez une alimentation externe"
"适合城市道路和高架夜景","適合城市道路和高架夜景","適合城市道路和高架夜景","Best for city roads and elevated night scenes","Cocok untuk jalan kota dan pemandangan malam jalan layang","Sesuai untuk jalan bandar dan pemandangan malam jejambat","Ideal para carreteras urbanas y escenas nocturnas elevadas","도시 도로와 고가도로 야경에 적합","Ideale per strade urbane e notturni sopraelevati","都市道路や高架道路の夜景に最適","Ideal para vias urbanas e cenas noturnas elevadas","Подходит для городских дорог и ночных эстакад","เหมาะกับถนนในเมืองและภาพกลางคืนบนทางยกระดับ","Phù hợp với đường phố và cảnh đêm cầu vượt","مناسب للطرق الحضرية والمشاهد الليلية المرتفعة","Şehir yolları ve yüksek yol gece sahneleri için uygundur","Geeignet für Stadtstraßen und nächtliche Hochstraßen","Idéal pour les routes urbaines et les scènes nocturnes surélevées"
"适合广场、展会和街区流动","適合廣場、展會和街區流動","適合廣場、展會和街區人流","Best for movement in squares, exhibitions, and streets","Cocok untuk pergerakan di alun-alun, pameran, dan jalan","Sesuai untuk pergerakan di dataran, pameran dan jalan","Ideal para movimiento en plazas, ferias y calles","광장, 전시회, 거리의 흐름에 적합","Ideale per movimento in piazze, fiere e strade","広場、展示会、街中の人の流れに最適","Ideal para movimento em praças, feiras e ruas","Подходит для движения на площадях, выставках и улицах","เหมาะกับการเคลื่อนไหวในลาน งานแสดง และย่านถนน","Phù hợp với chuyển động ở quảng trường, triển lãm và phố xá","مناسب للحركة في الساحات والمعارض والشوارع","Meydan, fuar ve sokak hareketleri için uygundur","Geeignet für Bewegung auf Plätzen, Messen und Straßen","Idéal pour les mouvements sur places, salons et rues"
"适合长周期固定机位拍摄","適合長周期固定機位拍攝","適合長週期固定機位拍攝","Best for long-duration fixed-camera shooting","Cocok untuk pemotretan lama dengan kamera tetap","Sesuai untuk rakaman jangka panjang dengan kamera tetap","Ideal para tomas largas con cámara fija","장시간 고정 카메라 촬영에 적합","Ideale per riprese lunghe con camera fissa","長時間の固定カメラ撮影に最適","Ideal para captação longa com câmera fixa","Подходит для длительной съемки с фиксированной камерой","เหมาะกับการถ่ายระยะยาวจากมุมกล้องคงที่","Phù hợp với quay dài hạn bằng máy cố định","مناسب للتصوير طويل المدة بكاميرا ثابتة","Uzun süreli sabit kamera çekimi için uygundur","Geeignet für lange Aufnahmen mit fester Kamera","Idéal pour les prises longues avec caméra fixe"
"拍摄时长","拍攝時長","拍攝時長","Shooting duration","Durasi pemotretan","Tempoh rakaman","Duración de captura","촬영 시간","Durata di ripresa","撮影時間","Duração da captura","Длительность съемки","ระยะเวลาถ่าย","Thời lượng chụp","مدة التصوير","Çekim süresi","Aufnahmedauer","Durée de prise de vue"
"成片时长","成片時長","成片時長","Final video duration","Durasi video akhir","Tempoh video akhir","Duración del video final","완성 영상 길이","Durata del video finale","完成動画の長さ","Duração do vídeo final","Длительность готового видео","ความยาววิดีโอสุดท้าย","Thời lượng video hoàn chỉnh","مدة الفيديو النهائي","Son video süresi","Dauer des fertigen Videos","Durée de la vidéo finale"
"帧速率","幀速率","影格率","Frame rate","Laju bingkai","Kadar bingkai","Velocidad de fotogramas","프레임 속도","Frequenza fotogrammi","フレームレート","Taxa de quadros","Частота кадров","อัตราเฟรม","Tốc độ khung hình","معدل الإطارات","Kare hızı","Bildrate","Fréquence d'images"
"拍摄间隔","拍攝間隔","拍攝間隔","Shooting interval","Interval pemotretan","Selang rakaman","Intervalo de captura","촬영 간격","Intervallo di scatto","撮影間隔","Intervalo de captura","Интервал съемки","ช่วงเวลาถ่าย","Khoảng cách chụp","فاصل التصوير","Çekim aralığı","Aufnahmeintervall","Intervalle de prise de vue"
"总张数","總張數","總張數","Total shots","Total foto","Jumlah tangkapan","Total de fotos","총 촬영 장수","Scatti totali","総撮影枚数","Total de fotos","Всего снимков","จำนวนภาพทั้งหมด","Tổng số ảnh","إجمالي اللقطات","Toplam çekim","Gesamtzahl der Aufnahmen","Nombre total de photos"
"自动","自動","自動","Auto","Otomatis","Automatik","Automático","자동","Automatico","自動","Automático","Авто","อัตโนมัติ","Tự động","تلقائي","Otomatik","Automatisch","Auto"
"留空自动算","留空自動計算","留空自動計算","Leave blank to auto-calculate","Kosongkan untuk hitung otomatis","Biarkan kosong untuk kira automatik","Dejar en blanco para calcular automáticamente","비워두면 자동 계산","Lascia vuoto per calcolo automatico","空欄で自動計算","Deixe em branco para calcular automaticamente","Оставьте пустым для автоподсчета","เว้นว่างเพื่อคำนวณอัตโนมัติ","Để trống để tự động tính","اتركه فارغا للحساب التلقائي","Otomatik hesaplamak için boş bırakın","Leer lassen für automatische Berechnung","Laisser vide pour calcul automatique"
"分","分鐘","phút","min","mnt","min","min","분","min","分","min","мин","นาที","phút","دقيقة","dk","Min.","min"
"秒","秒","秒","sec","dtk","saat","s","초","sec","秒","s","сек.","วินาที","giây","ثانية","sn","Sek.","s"
"张","張","張","shots","foto","tangkapan","fotos","장","scatti","枚","fotos","снимков","ภาพ","ảnh","لقطات","çekim","Aufnahmen","photos"
"拍摄提醒","拍攝提醒","拍攝提醒","Shooting reminders","Pengingat pemotretan","Peringatan rakaman","Recordatorios de captura","촬영 알림","Promemoria di ripresa","撮影リマインダー","Lembretes de captura","Напоминания о съемке","คำเตือนการถ่าย","Nhắc nhở chụp","تذكيرات التصوير","Çekim hatırlatmaları","Aufnahmehinweise","Rappels de prise de vue"
"计算","計算","計算","Calculate","Hitung","Kira","Calcular","계산","Calcola","計算","Calcular","Рассчитать","คำนวณ","Tính","احسب","Hesapla","Berechnen","Calculer"
"重新计算","重新計算","重新計算","Recalculate","Hitung ulang","Kira semula","Recalcular","다시 계산","Ricalcola","再計算","Recalcular","Пересчитать","คำนวณใหม่","Tính lại","أعد الحساب","Yeniden hesapla","Neu berechnen","Recalculer"
"复制结果","複製結果","複製結果","Copy result","Salin hasil","Salin hasil","Copiar resultado","결과 복사","Copia risultato","結果をコピー","Copiar resultado","Скопировать результат","คัดลอกผลลัพธ์","Sao chép kết quả","نسخ النتيجة","Sonucu kopyala","Ergebnis kopieren","Copier le résultat"
"重置","重置","重設","Reset","Atur ulang","Tetapkan semula","Restablecer","초기화","Reimposta","リセット","Redefinir","Сбросить","รีเซ็ต","Đặt lại","إعادة تعيين","Sıfırla","Zurücksetzen","Réinitialiser"
"历史记录（最近10条）","歷史記錄（最近10條）","歷史紀錄（最近 10 筆）","History (latest 10)","Riwayat (10 terbaru)","Sejarah (10 terkini)","Historial (10 recientes)","기록(최근 10개)","Cronologia (ultimi 10)","履歴（最新10件）","Histórico (10 recentes)","История (последние 10)","ประวัติ 10 รายการล่าสุด","Lịch sử (10 mục gần nhất)","السجل (آخر 10)","Geçmiş (son 10)","Verlauf (letzte 10)","Historique (10 derniers)"
"收起","收起","收合","Collapse","Ciutkan","Runtuhkan","Contraer","접기","Comprimi","折りたたむ","Recolher","Свернуть","ยุบ","Thu gọn","طي","Daralt","Einklappen","Réduire"
"展开","展開","展開","Expand","Perluas","Kembangkan","Expandir","펼치기","Espandi","展開","Expandir","Развернуть","ขยาย","Mở rộng","توسيع","Genişlet","Erweitern","Développer"
"暂无历史记录","暫無歷史記錄","暫無歷史紀錄","No history yet","Belum ada riwayat","Tiada sejarah lagi","Aún no hay historial","아직 기록 없음","Nessuna cronologia","履歴はありません","Sem histórico ainda","Истории пока нет","ยังไม่มีประวัติ","Chưa có lịch sử","لا يوجد سجل بعد","Henüz geçmiş yok","Noch kein Verlauf","Aucun historique"
"复制","複製","複製","Copy","Salin","Salin","Copiar","복사","Copia","コピー","Copiar","Копировать","คัดลอก","Sao chép","نسخ","Kopyala","Kopieren","Copier"
"清空历史","清空歷史","清除歷史紀錄","Clear history","Hapus riwayat","Kosongkan sejarah","Borrar historial","기록 지우기","Cancella cronologia","履歴を消去","Limpar histórico","Очистить историю","ล้างประวัติ","Xóa lịch sử","مسح السجل","Geçmişi temizle","Verlauf löschen","Effacer l'historique"
"请选择有效帧速率","請選擇有效幀速率","請選擇有效影格率","Please select a valid frame rate","Pilih laju bingkai yang valid","Sila pilih kadar bingkai yang sah","Selecciona una velocidad de fotogramas válida","유효한 프레임 속도를 선택하세요","Seleziona una frequenza fotogrammi valida","有効なフレームレートを選択してください","Selecione uma taxa de quadros válida","Выберите допустимую частоту кадров","โปรดเลือกอัตราเฟรมที่ถูกต้อง","Vui lòng chọn tốc độ khung hình hợp lệ","يرجى اختيار معدل إطارات صالح","Geçerli bir kare hızı seçin","Bitte eine gültige Bildrate wählen","Veuillez sélectionner une fréquence d'images valide"
"{field}必须大于0","{field}必須大於0","{field} 必須大於 0","{field} must be greater than 0","{field} harus lebih dari 0","{field} mesti lebih besar daripada 0","{field} debe ser mayor que 0","{field}은 0보다 커야 합니다","{field} deve essere maggiore di 0","{field}は0より大きい必要があります","{field} deve ser maior que 0","{field} должно быть больше 0","{field} ต้องมากกว่า 0","{field} phải lớn hơn 0","يجب أن يكون {field} أكبر من 0","{field} 0'dan büyük olmalıdır","{field} muss größer als 0 sein","{field} doit être supérieur à 0"
"{field}必须是整数","{field}必須是整數","{field} 必須是整數","{field} must be an integer","{field} harus berupa bilangan bulat","{field} mesti nombor bulat","{field} debe ser un número entero","{field}은 정수여야 합니다","{field} deve essere un numero intero","{field}は整数である必要があります","{field} deve ser um número inteiro","{field} должно быть целым числом","{field} ต้องเป็นจำนวนเต็ม","{field} phải là số nguyên","يجب أن يكون {field} عددا صحيحا","{field} tam sayı olmalıdır","{field} muss eine ganze Zahl sein","{field} doit être un nombre entier"
"至少输入两个参数","至少輸入兩個參數","至少輸入兩個參數","Enter at least two parameters","Masukkan minimal dua parameter","Masukkan sekurang-kurangnya dua parameter","Introduce al menos dos parámetros","매개변수를 두 개 이상 입력하세요","Inserisci almeno due parametri","少なくとも2つのパラメータを入力してください","Insira pelo menos dois parâmetros","Введите минимум два параметра","ป้อนพารามิเตอร์อย่างน้อยสองรายการ","Nhập ít nhất hai tham số","أدخل معلمتين على الأقل","En az iki parametre girin","Gib mindestens zwei Parameter ein","Saisissez au moins deux paramètres"
"总张数与成片时长冲突","總張數與成片時長衝突","總張數與成片時長衝突","Total shots conflict with final video duration","Total foto bertentangan dengan durasi video akhir","Jumlah tangkapan bercanggah dengan tempoh video akhir","El total de fotos entra en conflicto con la duración final","총 촬영 장수가 완성 영상 길이와 충돌합니다","Gli scatti totali sono in conflitto con la durata del video finale","総撮影枚数が完成動画の長さと矛盾しています","Total de fotos conflita com a duração final do vídeo","Общее число снимков конфликтует с длительностью видео","จำนวนภาพทั้งหมดขัดแย้งกับความยาววิดีโอสุดท้าย","Tổng số ảnh mâu thuẫn với thời lượng video hoàn chỉnh","إجمالي اللقطات يتعارض مع مدة الفيديو النهائي","Toplam çekim son video süresiyle çakışıyor","Gesamtzahl der Aufnahmen widerspricht der Videodauer","Le nombre total de photos est incompatible avec la durée finale"
"总张数与拍摄时长/间隔冲突","總張數與拍攝時長/間隔衝突","總張數與拍攝時長/間隔衝突","Total shots conflict with shooting duration/interval","Total foto bertentangan dengan durasi/interval pemotretan","Jumlah tangkapan bercanggah dengan tempoh/selang rakaman","El total de fotos entra en conflicto con la duración/intervalo de captura","총 촬영 장수가 촬영 시간/간격과 충돌합니다","Gli scatti totali sono in conflitto con durata/intervallo di ripresa","総撮影枚数が撮影時間/間隔と矛盾しています","Total de fotos conflita com duração/intervalo de captura","Общее число снимков конфликтует с длительностью/интервалом съемки","จำนวนภาพทั้งหมดขัดแย้งกับระยะเวลาหรือช่วงเวลาถ่าย","Tổng số ảnh mâu thuẫn với thời lượng/khoảng cách chụp","إجمالي اللقطات يتعارض مع مدة أو فاصل التصوير","Toplam çekim, çekim süresi/aralığıyla çakışıyor","Gesamtzahl der Aufnahmen widerspricht Aufnahmedauer/Intervall","Le nombre total de photos est incompatible avec la durée/l'intervalle"
"成片时长与拍摄参数冲突","成片時長與拍攝參數衝突","成片時長與拍攝參數衝突","Final video duration conflicts with shooting settings","Durasi video akhir bertentangan dengan pengaturan pemotretan","Tempoh video akhir bercanggah dengan tetapan rakaman","La duración final entra en conflicto con los ajustes de captura","완성 영상 길이가 촬영 설정과 충돌합니다","La durata del video finale è in conflitto con le impostazioni di ripresa","完成動画の長さが撮影設定と矛盾しています","Duração final do vídeo conflita com as configurações de captura","Длительность видео конфликтует с параметрами съемки","ความยาววิดีโอสุดท้ายขัดแย้งกับค่าการถ่าย","Thời lượng video hoàn chỉnh mâu thuẫn với cài đặt chụp","مدة الفيديو النهائي تتعارض مع إعدادات التصوير","Son video süresi çekim ayarlarıyla çakışıyor","Videodauer widerspricht den Aufnahmeeinstellungen","La durée finale est incompatible avec les réglages de prise de vue"
"参数不足，无法计算总张数","參數不足，無法計算總張數","參數不足，無法計算總張數","Not enough parameters to calculate total shots","Parameter tidak cukup untuk menghitung total foto","Parameter tidak mencukupi untuk mengira jumlah tangkapan","No hay suficientes parámetros para calcular el total de fotos","총 촬영 장수를 계산할 매개변수가 부족합니다","Parametri insufficienti per calcolare gli scatti totali","総撮影枚数を計算するためのパラメータが不足しています","Parâmetros insuficientes para calcular o total de fotos","Недостаточно параметров для расчета общего числа снимков","พารามิเตอร์ไม่พอสำหรับคำนวณจำนวนภาพทั้งหมด","Không đủ tham số để tính tổng số ảnh","المعلمات غير كافية لحساب إجمالي اللقطات","Toplam çekimi hesaplamak için yeterli parametre yok","Nicht genug Parameter zur Berechnung der Gesamtzahl","Paramètres insuffisants pour calculer le nombre total"
"还需输入拍摄时长或间隔","還需輸入拍攝時長或間隔","還需輸入拍攝時長或間隔","Enter shooting duration or interval","Masukkan durasi atau interval pemotretan","Masukkan tempoh atau selang rakaman","Introduce la duración o el intervalo de captura","촬영 시간 또는 간격을 입력하세요","Inserisci durata o intervallo di ripresa","撮影時間または間隔を入力してください","Insira a duração ou o intervalo de captura","Введите длительность или интервал съемки","ป้อนระยะเวลาถ่ายหรือช่วงเวลาถ่าย","Nhập thời lượng chụp hoặc khoảng cách chụp","أدخل مدة التصوير أو الفاصل","Çekim süresi veya aralığı girin","Aufnahmedauer oder Intervall eingeben","Saisissez la durée ou l'intervalle de prise de vue"
"总张数较高，请提前确认存储空间、电量和设备稳定性","總張數較高，請提前確認儲存空間、電量和設備穩定性","總張數較高，請提前確認儲存空間、電量和設備穩定性","Total shots are high. Check storage, battery, and device stability in advance.","Total foto tinggi. Periksa penyimpanan, baterai, dan stabilitas perangkat terlebih dahulu.","Jumlah tangkapan tinggi. Semak storan, bateri dan kestabilan peranti lebih awal.","El total de fotos es alto. Revisa almacenamiento, batería y estabilidad del dispositivo con antelación.","총 촬영 장수가 많습니다. 저장 공간, 배터리, 기기 안정성을 미리 확인하세요.","Gli scatti totali sono molti. Controlla spazio, batteria e stabilità del dispositivo in anticipo.","総撮影枚数が多めです。事前にストレージ、電池、機器の安定性を確認してください。","O total de fotos é alto. Verifique armazenamento, bateria e estabilidade do dispositivo com antecedência.","Снимков много. Заранее проверьте память, заряд и стабильность устройства.","จำนวนภาพค่อนข้างมาก โปรดตรวจสอบพื้นที่เก็บข้อมูล แบตเตอรี่ และความเสถียรของอุปกรณ์ล่วงหน้า","Tổng số ảnh khá cao. Hãy kiểm tra bộ nhớ, pin và độ ổn định thiết bị trước.","عدد اللقطات كبير. تحقق مسبقا من التخزين والبطارية واستقرار الجهاز.","Toplam çekim yüksek. Depolama, pil ve cihaz kararlılığını önceden kontrol edin.","Viele Aufnahmen. Prüfe vorher Speicher, Akku und Gerätestabilität.","Le nombre de photos est élevé. Vérifiez stockage, batterie et stabilité de l'appareil à l'avance."
"拍摄间隔很短，请确认快门速度、写入速度和缓存能力","拍攝間隔很短，請確認快門速度、寫入速度和緩存能力","拍攝間隔很短，請確認快門速度、寫入速度和快取能力","The shooting interval is very short. Check shutter speed, write speed, and buffer capacity.","Interval pemotretan sangat pendek. Periksa kecepatan rana, kecepatan tulis, dan kapasitas buffer.","Selang rakaman sangat pendek. Semak kelajuan pengatup, kelajuan tulis dan kapasiti penimbal.","El intervalo es muy corto. Revisa velocidad de obturación, escritura y capacidad de búfer.","촬영 간격이 매우 짧습니다. 셔터 속도, 쓰기 속도, 버퍼 용량을 확인하세요.","L'intervallo di scatto è molto breve. Controlla tempo di scatto, velocità di scrittura e buffer.","撮影間隔が非常に短いです。シャッター速度、書き込み速度、バッファ容量を確認してください。","O intervalo é muito curto. Verifique velocidade do obturador, gravação e capacidade de buffer.","Интервал очень короткий. Проверьте выдержку, скорость записи и буфер.","ช่วงเวลาถ่ายสั้นมาก โปรดตรวจสอบความเร็วชัตเตอร์ ความเร็วเขียน และบัฟเฟอร์","Khoảng cách chụp rất ngắn. Hãy kiểm tra tốc độ màn trập, tốc độ ghi và bộ đệm.","فاصل التصوير قصير جدا. تحقق من سرعة الغالق وسرعة الكتابة وسعة التخزين المؤقت.","Çekim aralığı çok kısa. Deklanşör hızı, yazma hızı ve tampon kapasitesini kontrol edin.","Das Intervall ist sehr kurz. Prüfe Verschlusszeit, Schreibgeschwindigkeit und Puffer.","L'intervalle est très court. Vérifiez vitesse d'obturation, écriture et mémoire tampon."
"拍摄时长较长，建议使用三脚架、外接供电并锁定构图","拍攝時長較長，建議使用三腳架、外接供電並鎖定構圖","拍攝時長較長，建議使用腳架、外接電源並鎖定構圖","The shoot is long. Use a tripod, external power, and locked composition.","Pemotretan cukup lama. Gunakan tripod, daya eksternal, dan komposisi terkunci.","Rakaman agak lama. Gunakan tripod, kuasa luaran dan komposisi terkunci.","La captura es larga. Usa trípode, alimentación externa y composición fija.","촬영 시간이 깁니다. 삼각대와 외부 전원을 사용하고 구도를 고정하세요.","La ripresa è lunga. Usa treppiede, alimentazione esterna e composizione bloccata.","撮影時間が長めです。三脚、外部電源、固定構図の使用をおすすめします。","A captura é longa. Use tripé, energia externa e composição travada.","Съемка длительная. Используйте штатив, внешнее питание и фиксированную композицию.","ระยะเวลาถ่ายค่อนข้างยาว แนะนำให้ใช้ขาตั้ง ไฟภายนอก และล็อกองค์ประกอบภาพ","Thời lượng chụp khá dài. Nên dùng chân máy, nguồn ngoài và khóa bố cục.","مدة التصوير طويلة. ينصح باستخدام حامل ثلاثي وطاقة خارجية وتثبيت التكوين.","Çekim uzun. Tripod, harici güç ve sabit kadraj kullanın.","Die Aufnahme ist lang. Nutze Stativ, externe Stromversorgung und feste Komposition.","La prise de vue est longue. Utilisez un trépied, une alimentation externe et un cadrage fixe."
"已生成{presetName}","已生成{presetName}","已產生{presetName}","Generated {presetName}","{presetName} dibuat","{presetName} dijana","{presetName} generado","{presetName} 생성됨","{presetName} generato","{presetName}を生成しました","{presetName} gerado","Создано: {presetName}","สร้าง {presetName} แล้ว","Đã tạo {presetName}","تم إنشاء {presetName}","{presetName} oluşturuldu","{presetName} erstellt","{presetName} généré"
"清空历史记录","清空歷史記錄","清除歷史紀錄","Clear history","Hapus riwayat","Kosongkan sejarah","Borrar historial","기록 지우기","Cancella cronologia","履歴を消去","Limpar histórico","Очистить историю","ล้างประวัติ","Xóa lịch sử","مسح السجل","Geçmişi temizle","Verlauf löschen","Effacer l'historique"
